id,name,type,type_damage,pp,power,description,name_corrected
59,blizzard,Ice, Special,5,110,A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.,blizzard
60,psybeam,Psychic, Special,20,65,The target is attacked with a peculiar ray. This may also confuse the target.,psybeam
61,bubble beam,Water, Special,20,65,A spray of bubbles is forcefully ejected at the target. This may also lower the target's Speed stat.,bubble-beam
62,aurora beam,Ice, Special,20,65,The target is hit with a rainbow-colored beam. This may also lower the target's Attack stat.,aurora-beam
63,hyper beam,Normal, Special,5,150,The target is attacked with a powerful beam. The user can't move on the next turn.,hyper-beam
64,peck,Flying, Physical,35,35,The target is jabbed with a sharply pointed beak or horn to inflict damage.,peck
65,drill peck,Flying, Physical,20,80,A corkscrewing attack that strikes the target with a sharp beak acting as a drill.,drill-peck
66,submission,Fighting, Physical,20,80,The user grabs the target and recklessly dives for the ground. This also damages the user a little.,submission
67,low kick,Fighting, Physical,20,0,A powerful low kick that makes the target fall over. The heavier the target  the greater the move's power.,low-kick
68,counter,Fighting, Physical,20,0,A retaliatory attack that counters any physical move  inflicting double the damage taken.,counter
69,seismic toss,Fighting, Physical,20,0,The target is thrown using the power of gravity. It inflicts damage equal to the user's level.,seismic-toss
70,strength,Normal, Physical,15,80,The target is slugged with a punch thrown at maximum power.,strength
71,absorb,Grass, Special,25,20,A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target.,absorb
72,mega drain,Grass, Special,15,40,A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target.,mega-drain
73,leech seed,Grass, Status,10,0,A seed is planted on the target. It steals some HP from the target every turn.,leech-seed
74,growth,Normal, Status,20,0,The user's body grows all at once  boosting the Attack and Sp. Atk stats.,growth
75,razor leaf,Grass, Physical,25,55,Sharp-edged leaves are launched to slash at opposing Pokémon. This move has a heightened chance of landing a critical hit.,razor-leaf
76,solar beam,Grass, Special,10,120,The user gathers light on the first turn  then blasts a bundled beam on the next turn.,solar-beam
77,poison powder,Poison, Status,35,0,The user scatters a cloud of poisonous dust that poisons the target.,poison-powder
78,stun spore,Grass, Status,30,0,The user scatters a cloud of numbing powder that paralyzes the target.,stun-spore
79,sleep powder,Grass, Status,15,0,The user scatters a cloud of soporific dust that puts the target to sleep.,sleep-powder
80,petal dance,Grass, Special,10,120,The user attacks the target by scattering petals for two to three turns. The user then becomes confused.,petal-dance
81,string shot,Bug, Status,40,0,The user blows silk from its mouth that binds opposing Pokémon and harshly lowers their Speed stats.,string-shot
82,dragon rage,Dragon, Special,10,0,This move can’t be used.It’s recommended that this move is forgotten.Once forgotten  this move can’t be remembered.,dragon-rage
83,fire spin,Fire, Special,15,35,The user traps the target inside a fierce vortex of fire that inflicts damage for four to five turns.,fire-spin
84,thunder shock,Electric, Special,30,40,The user attacks the target with a jolt of electricity. This may also leave the target with paralysis.,thunder-shock
85,thunderbolt,Electric, Special,15,90,The user attacks the target with a strong electric blast. This may also leave the target with paralysis.,thunderbolt
86,thunder wave,Electric, Status,20,0,The user launches a weak jolt of electricity that paralyzes the target.,thunder-wave
87,thunder,Electric, Special,10,110,A wicked thunderbolt is dropped on the target to inflict damage. This may also leave the target with paralysis.,thunder
88,rock throw,Rock, Physical,15,50,The user picks up and throws a small rock at the target to inflict damage.,rock-throw
89,earthquake,Ground, Physical,10,100,The user sets off an earthquake that strikes every Pokémon around it.,earthquake
90,fissure,Ground, Physical,5,0,The user opens up a fissure in the ground and drops the target in. The target faints instantly if this attack hits.,fissure
91,dig,Ground, Physical,10,80,The user burrows into the ground on the first turn  then attacks on the next turn.,dig
92,toxic,Poison, Status,10,0,A move that leaves the target badly poisoned. Its poison damage worsens every turn.,toxic
93,confusion,Psychic, Special,25,50,The target is hit with a weak telekinetic force to inflict damage. This may also confuse the target.,confusion
94,psychic,Psychic, Special,10,90,The target is hit with a strong telekinetic force to inflict damage. This may also lower the target’s Sp. Def stat.,psychic
95,hypnosis,Psychic, Status,20,0,The user employs hypnotic suggestion to make the target fall asleep.,hypnosis
96,meditate,Psychic, Status,40,0,This move can’t be used.It’s recommended that this move is forgotten.Once forgotten  this move can’t be remembered.,meditate
97,agility,Psychic, Status,30,0,The user relaxes and lightens its body to move faster. This sharply boosts its Speed stat.,agility
98,quick attack,Normal, Physical,30,40,The user lunges at the target to inflict damage  moving at blinding speed. This move always goes first.,quick-attack
99,rage,Normal, Physical,20,20,This move can’t be used.It’s recommended that this move is forgotten.Once forgotten  this move can’t be remembered.,rage
100,teleport,Psychic, Status,20,0,The user switches places with a party Pokémon in waiting  if any. If a wild Pokémon uses this move  it flees.,teleport
101,night shade,Ghost, Special,15,0,The user makes the target see a frightening mirage. It inflicts damage equal to the user's level.,night-shade
102,mimic,Normal, Status,10,0,The user copies the move last used by the target. The copied move can be used until the user of Mimic leaves the battle.,mimic
103,screech,Normal, Status,40,0,An earsplitting screech harshly lowers the target's Defense stat.,screech
104,double team,Normal, Status,15,0,By moving rapidly  the user makes illusory copies of itself to boost its evasiveness.,double-team
105,recoer,Normal, Status,10,0,The user regenerates its cells  restoring its own HP by up to half its max HP.,recoer
106,harden,Normal, Status,30,0,The user stiffens all the muscles in its body to boost its Defense stat.,harden
107,minimize,Normal, Status,10,0,The user compresses its body to make itself look smaller  which sharply boosts its evasiveness.,minimize
108,smokescreen,Normal, Status,20,0,The user releases an obscuring cloud of smoke or ink. This lowers the target's accuracy.,smokescreen
109,confuse ray,Ghost, Status,10,0,The target is exposed to a sinister ray that causes confusion.,confuse-ray
110,withdraw,Water, Status,40,0,The user withdraws its body into its hard shell  boosting its Defense stat.,withdraw
111,defense curl,Normal, Status,40,0,The user curls up and boosts its Defense stat.,defense-curl
112,barrier,Psychic, Status,20,0,This move can’t be used.It’s recommended that this move is forgotten.Once forgotten  this move can’t be remembered.,barrier
113,light screen,Psychic, Status,30,0,A wondrous wall of light is put up to reduce damage from special moves for five turns.,light-screen
114,haze,Ice, Status,30,0,The user creates a haze that eliminates every stat change among all the Pokémon engaged in battle.,haze
115,reflect,Psychic, Status,20,0,A wondrous wall of light is put up to reduce damage from physical moves for five turns.,reflect
116,focus energy,Normal, Status,30,0,The user takes a deep breath and focuses so that its future attacks have a heightened chance of landing critical hits.,focus-energy
117,bide,Normal, Physical,10,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,bide
118,metronome,Normal, Status,10,0,The user waggles a finger and stimulates its brain into randomly using nearly any move.,metronome
119,mirror move,Flying, Status,20,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,mirror-move
120,self-destruct,Normal, Physical,5,200,The user attacks everything around it by causing an explosion. The user faints upon using this move.,self-destruct
121,egg bomb,Normal, Physical,10,100,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,egg-bomb
122,lick,Ghost, Physical,30,30,The user licks the target with a long tongue to inflict damage. This may also leave the target with paralysis.,lick
123,smog,Poison, Special,20,30,The target is attacked with a discharge of filthy gases. This may also poison the target.,smog
124,sludge,Poison, Special,20,65,The user hurls unsanitary sludge at the target to inflict damage. This may also poison the target.,sludge
125,bone club,Ground, Physical,20,65,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,bone-club
126,fire blast,Fire, Special,5,110,The target is attacked with an intense blast of all-consuming fire. This may also leave the target with a burn.,fire-blast
127,waterfall,Water, Physical,15,80,The user charges at the target and may make it flinch.,waterfall
128,clamp,Water, Physical,15,35,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,clamp
129,swift,Normal, Special,20,60,Star-shaped rays are shot at opposing Pokémon. This attack never misses.,swift
130,skull bash,Normal, Physical,10,130,The user tucks in its head to raise its Defensestat on the first turn  then rams the target on thenext turn.,skull-bash
131,spike cannon,Normal, Physical,15,20,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,spike-cannon
132,constrict,Normal, Physical,35,10,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,constrict
133,amnesia,Psychic, Status,20,0,The user temporarily empties its mind to forget its concerns. This sharply boosts the user's Sp. Def stat.,amnesia
134,kinesis,Psychic, Status,15,0,The user distracts the target by bending a spoon.This lowers the target’s accuracy.,kinesis
135,soft-boiled,Normal, Status,10,0,The user restores its own HP by up to half its max HP.,soft-boiled
136,high jump kick,Fighting, Physical,10,130,The target is attacked with a knee kick from a jump. If this move misses  the user takes damage instead.,high-jump-kick
137,glare,Normal, Status,30,0,The user intimidates the target with the pattern on its belly to cause paralysis.,glare
138,dream eater,Psychic, Special,15,100,The user eats the dreams of a sleeping target. The user's HP is restored by up to half the damage taken by the target.,dream-eater
139,poison gas,Poison, Status,40,0,A cloud of poison gas is sprayed in the faces of opposing Pokémon  poisoning those it hits.,poison-gas
140,barrage,Normal, Physical,20,15,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,barrage
141,leech life,Bug, Physical,10,80,The user drains the target's blood. The user's HP is restored by up to half the damage taken by the target.,leech-life
142,loely kiss,Normal, Status,10,0, With a scary face  the user tries to force a kiss on the target. If it succeeds  the target falls asleep.,loely-kiss
143,sky attack,Flying, Physical,5,140,The user attacks the turn after using this move. This move has a heightened chance of landing a critical hit and may also make the target flinch.,sky-attack
144,transform,Normal, Status,10,0,The user transforms into a copy of the target  right down to having the same move set.,transform
145,bubble,Water, Special,30,40,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,bubble
146,dizzy punch,Normal, Physical,10,70,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,dizzy-punch
147,spore,Grass, Status,15,0,The user scatters bursts of spores that induce sleep.,spore
148,flash,Normal, Status,20,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,flash
149,psywave,Psychic, Special,15,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,psywave
150,splash,Normal, Status,40,0,The user just flops and splashes around to no effect at all...,splash
151,acid armor,Poison, Status,20,0,The user alters its cellular structure to liquefy itself  sharply boosting its Defense stat.,acid-armor
152,crabhammer,Water, Physical,10,100,The target is hammered with a large pincer. This move has a heightened chance of landing a critical hit.,crabhammer
153,explosion,Normal, Physical,5,250,The user attacks everything around it by causing a tremendous explosion. The user faints upon using this move.,explosion
154,fury swipes,Normal, Physical,15,18,The user attacks by raking the target with claws  scythes  or the like. This move hits two to five times in a row.,fury-swipes
155,bonemerang,Ground, Physical,10,50,The user throws the bone it holds. The bone loopsaround to hit the target twice—coming and going.,bonemerang
156,rest,Psychic, Status,10,0,The user goes to sleep for two turns. This fully restores the user's HP and cures any status conditions.,rest
157,rock slide,Rock, Physical,10,75,Large boulders are hurled at opposing Pokémon to inflict damage. This may also make the opposing Pokémon flinch.,rock-slide
158,hyper fang,Normal, Physical,15,80,The user bites hard on the target with its sharpfront fangs. This may also make the target flinch.,hyper-fang
159,sharpen,Normal, Status,30,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,sharpen
160,conersion,Normal, Status,30,0,The user changes its type to become the same type as the move at the top of the list of moves it knows.,conersion
161,tri attack,Normal, Special,10,80,The user strikes with a simultaneous three-beam attack. This may also burn  freeze  or paralyze the target.,tri-attack
162,super fang,Normal, Physical,10,0,The user chomps hard on the target with its sharp front fangs. This cuts the target's HP in half.,super-fang
163,slash,Normal, Physical,20,70,The target is attacked with a slash of claws  scythes  or the like. This move has a heightened chance of landing a critical hit.,slash
164,substitute,Normal, Status,10,0,The user creates a substitute for itself using some of its own HP. The substitute serves as the user's decoy.,substitute
165,struggle,Normal, Physical,150,0,This attack is used in desperation only if the userhas no PP. It also damages the user a little.,struggle
166,sketch,Normal, Status,10,0,This move enables the user to permanently learn the move last used by the target. Once used  Sketch disappears.,sketch
167,triple kick,Fighting, Physical,10,10,A consecutive three-kick attack that becomes more powerful with each successful hit.,triple-kick
168,thief,Dark, Physical,25,60,The user attacks and steals the target's held item simultaneously. The user can't steal anything if it already holds an item.,thief
169,spider web,Bug, Status,10,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,spider-web
170,mind reader,Normal, Status,5,0,The user senses the target’s movements with itsmind to ensure its next attack does not missthe target.,mind-reader
171,nightmare,Ghost, Status,15,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,nightmare
172,flame wheel,Fire, Physical,25,60,The user attacks by cloaking itself in fire and charging at the target. This may also leave the target with a burn.,flame-wheel
173,snore,Normal, Special,15,50,This attack can be used only if the user is asleep. The harsh noise may also make the target flinch.,snore
174,curse,Ghost, Status,10,0,A move that has different effects depending on whether the user is a Ghost type or not.,curse
175,flail,Normal, Physical,15,0,The user flails about aimlessly to attack. The less HP the user has  the greater the move's power.,flail
176,conersion 2,Normal, Status,30,0,The user changes its type to make itself resistant to the type of the move the target used last.,conersion-2
177,aeroblast,Flying, Special,5,100,A vortex of air is shot at the target to inflict damage. This move has a heightened chance of landing a critical hit.,aeroblast
178,cotton spore,Grass, Status,40,0,The user releases cotton-like spores that cling to opposing Pokémon. This harshly lowers their Speed stats.,cotton-spore
179,reversal,Fighting, Physical,15,0,An all-out attack that becomes more powerful the less HP the user has.,reversal
180,spite,Ghost, Status,10,0,The user unleashes its grudge on the move last used by the target by cutting 4 PP from it.,spite
181,powder snow,Ice, Special,25,40,The user attacks with a chilling gust of powdery snow. This may also leave opposing Pokémon frozen.,powder-snow
182,protect,Normal, Status,10,0,This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.,protect
183,mach punch,Fighting, Physical,30,40,The user throws a punch at blinding speed. This move always goes first.,mach-punch
184,scary face,Normal, Status,10,0,The user frightens the target with a scary face to harshly lower its Speed stat.,scary-face
185,feint attack,Dark, Physical,20,60,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,feint-attack
186,sweet kiss,Fairy, Status,10,0,The user kisses the target with a sweet  angelic cuteness that causes confusion.,sweet-kiss
187,belly drum,Normal, Status,10,0,The user maximizes its Attack stat but loses HP equal to half its max HP.,belly-drum
188,sludge bomb,Poison, Special,10,90,The user hurls unsanitary sludge at the target to inflict damage. This may also poison the target.,sludge-bomb
189,mud-slap,Ground, Special,10,20,The user hurls mud in the target's face to inflict damage and lower its accuracy.,mud-slap
190,octazooka,Water, Special,10,65,The user attacks by spraying ink in the target’s faceor eyes. This may also lower the target’s accuracy.,octazooka
191,spikes,Ground, Status,20,0,The user lays a trap of spikes at the feet of the opposing team. The spikes will damage opposing Pokémon that switch into battle.,spikes
192,zap cannon,Electric, Special,5,120,The user attacks by firing an electric blast like a cannon. This also leaves the target with paralysis.,zap-cannon
193,foresight,Normal, Status,40,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,foresight
194,destiny bond,Ghost, Status,5,0,If the user is knocked out after using this move  the Pokémon that knocked it out will also faint. This move's chance of failing rises if it is used in succession.,destiny-bond
195,perish song,Normal, Status,5,0,Any Pokémon that hears this song faints in three turns  unless it switches out of battle.,perish-song
196,icy wind,Ice, Special,15,55,The user attacks with a gust of chilled air. This also lowers opposing Pokémon's Speed stats.,icy-wind
197,detect,Fighting, Status,5,0,This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.,detect
198,bone rush,Ground, Physical,10,25,The user attacks by striking the target with a hard bone. This move hits two to five times in a row.,bone-rush
199,lock-on,Normal, Status,5,0,The user takes sure aim at the target. This ensures the user's next move does not miss that target.,lock-on
200,outrage,Dragon, Physical,10,120,The user rampages and attacks for two to three turns. The user then becomes confused.,outrage
201,sandstorm,Rock, Status,10,0,A five-turn sandstorm is summoned to damage all Pokémon except Rock  Ground  and Steel types. The sandstorm also boosts the Sp. Def stats of Rock types.,sandstorm
202,giga drain,Grass, Special,10,75,A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target.,giga-drain
203,endure,Normal, Status,10,0,The user endures any attack with at least 1 HP. This move's chance of failing rises if used in succession.,endure
204,charm,Fairy, Status,20,0,The user gazes at the target rather charmingly  making it less wary. This harshly lowers the target's Attack stat.,charm
205,rollout,Rock, Physical,20,30,The user continually rolls into the target over five turns. This attack becomes more powerful each time it hits.,rollout
206,false swipe,Normal, Physical,40,40,A restrained attack that prevents the target from fainting. The target is left with at least 1 HP.,false-swipe
207,swagger,Normal, Status,15,0,The user enrages and confuses the target. However  this also sharply boosts the target's Attack stat.,swagger
208,milk drink,Normal, Status,10,0,The user restores its own HP by up to half its max HP.,milk-drink
209,spark,Electric, Physical,20,65,The user attacks the target with an electrically charged tackle. This may also leave the target with paralysis.,spark
210,fury cutter,Bug, Physical,20,40,The user attacks by slashing the target with scythes  claws  or the like. This attack becomes more powerful if it hits in succession.,fury-cutter
211,steel wing,Steel, Physical,25,70,The target is hit with wings of steel. This may also boost the user's Defense stat.,steel-wing
212,mean look,Normal, Status,5,0,The user pins the target with a dark  arresting look. The target becomes unable to flee.,mean-look
213,attract,Normal, Status,15,0,If the target is of the opposite gender to the user  it becomes infatuated with the user and will sometimes be unable to use its moves.,attract
214,sleep talk,Normal, Status,10,0,The user randomly uses one of the moves it knows. This move can only be used while the user is asleep.,sleep-talk
215,heal bell,Normal, Status,5,0,The user makes a soothing bell chime to cure the status conditions of all its fellow party Pokémon and allies.,heal-bell
216,return,Normal, Physical,20,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,return
217,present,Normal, Physical,15,0,The user attacks by giving the target a gift with a hidden trap. The gift restores HP sometimes  however.,present
218,frustration,Normal, Physical,20,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,frustration
219,safeguard,Normal, Status,25,0,The user creates a protective field that prevents status conditions for five turns.,safeguard
220,pain split,Normal, Status,20,0,The user adds its HP to the target's HP  then equally splits the combined HP between the target and itself.,pain-split
221,sacred fire,Fire, Physical,5,100,The target is razed with a mystical fire of great intensity. This may also leave the target with a burn.,sacred-fire
222,magnitude,Ground, Physical,30,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,magnitude
223,dynamic punch,Fighting, Physical,5,100,The user attacks by punching the target with full concentrated power. This also confuses the target.,dynamic-punch
224,megahorn,Bug, Physical,10,120,Using its tough and impressive horn  the user rams into the target with no letup.,megahorn
225,dragon breath,Dragon, Special,20,60,The user exhales a mighty gust that inflicts damage. This may also leave the target with paralysis.,dragon-breath
226,baton pass,Normal, Status,40,0,The user switches places with a party Pokémon in waiting and passes along any stat changes.,baton-pass
227,encore,Normal, Status,5,0,The user compels the target to keep using the move it encored for three turns.,encore
228,pursuit,Dark, Physical,20,40,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,pursuit
229,rapid spin,Normal, Physical,40,50,The user performs a spin attack that can also eliminate the effects of such moves as Bind  Wrap  and Leech Seed. This also boosts the user's Speed stat.,rapid-spin
230,sweet scent,Normal, Status,20,0,The user releases a scent that harshly lowers opposing Pokémon's evasiveness.,sweet-scent
231,iron tail,Steel, Physical,15,100,The target is slammed with a steel-hard tail. This may also lower the target's Defense stat.,iron-tail
232,metal claw,Steel, Physical,35,50,The target is raked with steel claws. This may also boost the user's Attack stat.,metal-claw
233,vital throw,Fighting, Physical,10,70,The user attacks last. In return  this throw movenever misses.,vital-throw
234,morning sun,Normal, Status,5,0,The user restores its own HP. The amount of HP regained varies with the weather.,morning-sun
235,synthesis,Grass, Status,5,0,The user restores its own HP. The amount of HP regained varies with the weather.,synthesis
236,moonlight,Fairy, Status,5,0,The user restores its own HP. The amount of HP regained varies with the weather.,moonlight
237,hidden power,Normal, Special,15,60,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,hidden-power
238,cross chop,Fighting, Physical,5,100,The user delivers a double chop with its forearms crossed. This move has a heightened chance of landing a critical hit.,cross-chop
239,twister,Dragon, Special,20,40,The user whips up a vicious tornado to tear at opposing Pokémon. This may also make them flinch.,twister
240,rain dance,Water, Status,5,0,The user summons a heavy rain that falls for five turns  powering up Water-type attacks. The rain also lowers the power of Fire-type attacks.,rain-dance
241,sunny day,Fire, Status,5,0,The user intensifies the sun for five turns  powering up Fire-type attacks. The sunlight also lowers the power of Water-type attacks.,sunny-day
242,crunch,Dark, Physical,15,80,The user crunches up the target with sharp fangs. This may also lower the target's Defense stat.,crunch
243,mirror coat,Psychic, Special,20,0,A retaliatory attack that counters any special move  inflicting double the damage taken.,mirror-coat
244,psych up,Normal, Status,10,0,The user hypnotizes itself into copying any stat change made by the target.,psych-up
245,extreme speed,Normal, Physical,5,80,The user charges the target at blinding speed. This move always goes first.,extreme-speed
246,ancient power,Rock, Special,5,60,The user attacks with a prehistoric power. This may also boost all the user's stats at once.,ancient-power
247,shadow ball,Ghost, Special,15,80,The user attacks by hurling a shadowy blob at the target. This may also lower the target’s Sp. Def stat.,shadow-ball
248,future sight,Psychic, Special,10,120,Two turns after this move is used  a hunk of psychic energy attacks the target.,future-sight
249,rock smash,Fighting, Physical,15,40,The user attacks with a punch. This may also lower the target's Defense stat.,rock-smash
250,whirlpool,Water, Special,15,35,The user traps the target inside a violent  swirling whirlpool that inflicts damage for four to five turns.,whirlpool
251,beat up,Dark, Physical,10,0,The user gets all party Pokémon to attack the target. The more party Pokémon  the greater the number of attacks.,beat-up
252,fake out,Normal, Physical,10,40,This attack hits first and makes the target flinch. It works only on the first turn each time the user enters battle.,fake-out
253,uproar,Normal, Special,10,90,The user attacks in an uproar for three turns. During that time  no Pokémon can fall asleep.,uproar
254,stockpile,Normal, Status,20,0,The user stores power and boosts its Defense and Sp. Def stats. This move can be used up to three times.,stockpile
255,spit up,Normal, Special,10,0,The power stored using the move Stockpile is released at once in an attack. The more power is stored  the greater the move's power.,spit-up
256,swallow,Normal, Status,10,0,The power stored using the move Stockpile is absorbed by the user to restore its own HP. The more power is stored  the more HP is restored.,swallow
257,heat wave,Fire, Special,10,95,The user attacks by exhaling hot breath on opposing Pokémon. This may also leave them with a burn.,heat-wave
258,hail,Ice, Status,10,0,The user summons a hailstorm lasting five turns.It damages all Pokémon except Ice types.,hail
259,torment,Dark, Status,15,0,The user torments and enrages the target  making it incapable of using the same move twice in a row.,torment
260,flatter,Dark, Status,15,0,Flattery is used to confuse the target. However  this also boosts the target's Sp. Atk stat.,flatter
261,will-o-wisp,Fire, Status,15,0,The user shoots a sinister flame at the target to inflict a burn.,will-o-wisp
262,memento,Dark, Status,10,0,The user faints. In return  the target's Attack and Sp. Atk stats are harshly lowered.,memento
263,facade,Normal, Physical,20,70,This move's power is doubled if the user is poisoned  burned  or paralyzed.,facade
264,focus punch,Fighting, Physical,20,150,The user focuses its mind before launching a punch. This move fails if the user is hit before using the move.,focus-punch
265,smelling salts,Normal, Physical,10,70,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,smelling-salts
266,follow me,Normal, Status,20,0,The user draws attention to itself  making all opposing Pokémon take aim only at the user.,follow-me
267,nature power,Normal, Status,20,0,This attack makes use of nature’s power. Itseffects vary depending on the user’s environment.,nature-power
268,charge,Electric, Status,20,0,The user becomes charged  boosting the power of the next Electric-type move it uses. This also boosts the user's Sp. Def stat.,charge
269,taunt,Dark, Status,20,0,The target is taunted into a rage that allows it to use only attack moves for three turns.,taunt
270,helping hand,Normal, Status,20,0,The user assists an ally by boosting the power of that ally's attack.,helping-hand
271,trick,Psychic, Status,10,0,The user catches the target off guard and swaps the target's held item with its own.,trick
272,role play,Psychic, Status,10,0,The user mimics the target completely  copying the target's Ability.,role-play
273,wish,Normal, Status,10,0,One turn after this move is used  the user's or its replacement's HP is restored by up to half the user's max HP.,wish
274,assist,Normal, Status,20,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,assist
275,ingrain,Grass, Status,20,0,The user lays roots that restore its own HP every turn. Because the user is now rooted  it can't switch out.,ingrain
276,superpower,Fighting, Physical,5,120,The user attacks the target with great power. This also lowers the user's Attack and Defense stats.,superpower
277,magic coat,Psychic, Status,15,0,Moves like Leech Seed and moves that inflict statusconditions are blocked by a barrier and reflected backto the user of those moves.,magic-coat
278,recycle,Normal, Status,10,0,The user recycles a held item that has been used in battle so it can be used again.,recycle
279,revenge,Fighting, Physical,10,60,This attack move’s power is doubled if the user hasbeen hurt by the opponent in the same turn.,revenge
280,brick break,Fighting, Physical,15,75,The user attacks with a swift chop. This move can also break barriers  such as Light Screen and Reflect.,brick-break
281,yawn,Normal, Status,10,0,The user lets loose a huge yawn that lulls the target into falling asleep on the next turn.,yawn
282,knock off,Dark, Physical,20,65,The user slaps down the target's held item  making it unusable for that battle. This move does more damage if the target has a held item.,knock-off
283,endeaor,Normal, Physical,5,0,The user inflicts damage by cutting down the target's HP to roughly equal the user's HP.,endeaor
284,eruption,Fire, Special,5,150,The user attacks opposing Pokémon with explosive fury. The lower the user's HP  the lower the move's power.,eruption
285,skill swap,Psychic, Status,10,0,The user employs its psychic power to exchange Abilities with the target.,skill-swap
286,imprison,Psychic, Status,10,0,If opposing Pokémon know any move also known by the user  they are prevented from using it.,imprison
287,refresh,Normal, Status,20,0,This move can’t be used.It’s recommended that this move is forgotten. Once forgotten  this move can’t be remembered,refresh
